epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,2817.29,0.99805,1.01427,1.20887,0.63162,0.59283,0.62831,0.48602,0.96529,1.38556,1.31743,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
116,2841.06,1.00585,0.99308,1.19986,0.62399,0.58551,0.64592,0.50223,0.95353,1.33675,1.30482,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
117,2864.74,1.00299,0.98967,1.2047,0.61387,0.58547,0.62276,0.48187,0.96661,1.39283,1.31338,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
118,2888.62,1.01089,0.97963,1.20157,0.54941,0.64396,0.61811,0.48192,0.9564,1.34623,1.30343,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425
119,2912.48,1.01265,0.98751,1.2038,0.57495,0.58683,0.62815,0.48638,0.96633,1.34808,1.30177,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
120,2935.96,0.98954,0.97695,1.19204,0.5563,0.60899,0.61455,0.47092,0.96632,1.4127,1.31146,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475
121,2959.62,0.99138,0.97078,1.19903,0.58251,0.59806,0.63116,0.48699,0.95811,1.36841,1.3047,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
122,2983.24,0.99155,0.97248,1.19377,0.55711,0.60789,0.62356,0.48273,0.95508,1.37619,1.30969,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525
123,3006.83,0.99999,0.97996,1.20174,0.5709,0.62367,0.63932,0.49546,0.9683,1.3732,1.31011,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
124,3030.6,0.9813,0.95663,1.189,0.54935,0.66181,0.6404,0.49584,0.96155,1.37661,1.31344,0.0208673,0.00695575,0.0208673,0.00695575,0.0208673,0.00695575,0.0208673,0.00695575
